,日期,店铺,销量,评分,配送时间,订单状态
78,2024-07-12,炸鸡队长,164.0,4.4,19.0,已完成
79,2024-07-29,鲜粥铺,22.0,3.7,31.0,配送中
80,2024-07-08,蜀香麻辣烫,179.0,4.8,51.0,已完成
81,2024-07-15,蜀香麻辣烫,32.0,4.7,50.0,已完成
82,2024-07-03,鲜粥铺,139.0,4.0,33.0,已完成
83,2024-07-14,老张炒饭,144.0,4.9,41.0,已完成
84,2024-07-17,湘味小炒,108.0,4.7,48.0,已完成
85,2024-07-04,老张炒饭,92.0,4.5,25.0,已完成
86,2024-07-18,老张炒饭,87.0,3.7,59.0,已完成
87,2024-07-08,老张炒饭,161.0,4.2,26.0,已取消
88,2024-07-04,炸鸡队长,120.0,4.3,35.0,已完成
89,2024-07-02,蜀香麻辣烫,117.0,3.8,25.0,已完成
90,2024-07-30,老张炒饭,30.0,3.6,53.0,已完成
91,2024-07-06,蜀香麻辣烫,124.0,4.7,42.0,已完成
92,2024-07-22,鲜粥铺,86.0,3.7,19.0,已完成
93,2024-07-10,湘味小炒,142.0,4.4,31.0,已完成
94,2024-07-04,鲜粥铺,48.0,4.9,34.0,已完成
95,2024-07-22,鲜粥铺,156.0,4.8,55.0,已完成
96,2024-07-29,炸鸡队长,172.0,3.9,26.0,已完成
97,2024-07-31,湘味小炒,95.0,4.8,20.0,已完成
98,2024-07-18,鲜粥铺,189.0,3.5,31.0,已完成
99,2024-07-26,鲜粥铺,28.0,3.5,33.0,已完成
100,2024-07-12,湘味小炒,59.0,4.4,40.0,已完成
101,2024-07-02,湘味小炒,44.0,4.0,58.0,配送中
102,2024-07-10,鲜粥铺,24.0,4.1,58.0,已完成
103,2024-07-30,湘味小炒,158.0,4.3,46.0,已取消
104,2024-07-04,鲜粥铺,143.0,3.8,20.0,已完成
105,2024-07-14,鲜粥铺,57.0,3.8,50.0,已完成
106,2024-07-31,炸鸡队长,91.0,4.2,52.0,已完成
107,2024-07-16,老张炒饭,152.0,,25.0,已完成
108,2024-07-15,鲜粥铺,195.0,4.4,47.0,已完成
109,2024-07-08,蜀香麻辣烫,109.0,3.9,38.0,配送中
110,2024-07-14,老张炒饭,165.0,4.1,,已完成
111,2024-07-23,老张炒饭,56.0,3.8,29.0,配送中
112,2024-07-28,老张炒饭,79.0,3.6,41.0,已完成
113,2024-07-25,炸鸡队长,195.0,4.7,25.0,已取消
114,2024-07-30,鲜粥铺,47.0,3.9,31.0,已完成
115,2024-07-08,炸鸡队长,100.0,3.8,28.0,已取消
116,2024-07-21,鲜粥铺,133.0,4.5,41.0,已完成
117,2024-07-16,炸鸡队长,59.0,4.4,32.0,已完成
118,2024-07-13,炸鸡队长,64.0,4.4,42.0,已完成
119,2024-07-18,蜀香麻辣烫,81.0,3.8,18.0,已取消
120,2024-07-15,炸鸡队长,112.0,3.8,21.0,已完成
121,2024-07-21,湘味小炒,134.0,3.8,59.0,已取消
122,2024-07-24,蜀香麻辣烫,86.0,3.8,49.0,已完成
123,2024-07-26,炸鸡队长,75.0,4.5,23.0,已取消
124,2024-07-25,老张炒饭,59.0,4.8,22.0,已取消
125,2024-07-28,湘味小炒,117.0,4.6,59.0,已取消
126,2024-07-28,湘味小炒,59.0,4.7,31.0,已完成
127,2024-07-28,湘味小炒,110.0,4.1,31.0,已完成
128,2024-07-13,蜀香麻辣烫,52.0,4.5,47.0,配送中
129,2024-07-09,炸鸡队长,25.0,4.0,46.0,已完成
130,2024-07-29,炸鸡队长,166.0,4.3,22.0,已完成
131,2024-07-15,老张炒饭,99.0,4.2,33.0,已完成
132,2024-07-13,老张炒饭,187.0,3.8,52.0,已取消
133,2024-07-01,湘味小炒,111.0,4.1,17.0,已完成
134,2024-07-25,老张炒饭,116.0,4.9,19.0,已完成
135,2024-07-07,蜀香麻辣烫,78.0,3.9,27.0,已取消
136,2024-07-09,炸鸡队长,78.0,3.7,45.0,已完成
137,2024-07-24,湘味小炒,67.0,,30.0,配送中
138,2024-07-01,老张炒饭,188.0,4.7,46.0,已完成
139,2024-07-12,蜀香麻辣烫,32.0,4.4,36.0,已完成
140,2024-07-08,蜀香麻辣烫,126.0,4.5,43.0,已完成
141,2024-07-24,老张炒饭,64.0,3.8,36.0,已完成
142,2024-07-31,炸鸡队长,108.0,4.4,57.0,配送中
143,2024-07-11,老张炒饭,189.0,4.0,17.0,已完成
144,2024-07-19,湘味小炒,119.0,4.8,24.0,已完成
145,2024-07-17,老张炒饭,174.0,4.4,56.0,已完成
146,2024-07-08,蜀香麻辣烫,185.0,3.8,35.0,已完成
147,2024-07-03,老张炒饭,26.0,3.6,30.0,已完成
148,2024-07-03,炸鸡队长,152.0,3.6,26.0,已完成
149,2024-07-01,鲜粥铺,64.0,4.1,16.0,已完成
150,2024-07-27,老张炒饭,77.0,3.9,55.0,已取消
151,2024-07-05,炸鸡队长,50.0,4.5,38.0,已完成
152,2024-07-10,炸鸡队长,42.0,4.2,49.0,已完成
153,2024-07-07,蜀香麻辣烫,189.0,3.9,44.0,已完成
154,2024-07-26,炸鸡队长,157.0,3.7,44.0,已取消
155,2024-07-09,炸鸡队长,179.0,3.7,49.0,已完成
156,2024-07-28,炸鸡队长,126.0,4.8,33.0,已完成
157,2024-07-07,炸鸡队长,177.0,3.9,22.0,已完成
158,2024-07-09,湘味小炒,58.0,4.5,40.0,配送中
159,2024-07-08,湘味小炒,178.0,4.7,54.0,已完成
160,2024-07-12,蜀香麻辣烫,101.0,4.4,21.0,已取消
161,2024-07-02,老张炒饭,119.0,4.8,44.0,已完成
162,2024-07-01,炸鸡队长,,4.1,21.0,已完成
163,2024-07-16,老张炒饭,96.0,4.9,17.0,已取消
164,2024-07-23,老张炒饭,31.0,3.7,15.0,已完成
165,2024-07-23,蜀香麻辣烫,,3.7,50.0,已取消
166,2024-07-30,炸鸡队长,32.0,4.5,39.0,配送中
167,2024-07-24,炸鸡队长,65.0,4.9,51.0,已取消
168,2024-07-05,鲜粥铺,174.0,4.7,15.0,已完成
169,2024-07-03,老张炒饭,132.0,3.6,29.0,已取消
170,2024-07-12,老张炒饭,36.0,3.9,51.0,已完成
171,2024-07-08,湘味小炒,123.0,4.9,27.0,已取消
172,2024-07-22,鲜粥铺,117.0,3.9,54.0,已完成
173,2024-07-27,湘味小炒,107.0,4.7,22.0,已取消
174,2024-07-03,湘味小炒,128.0,4.7,19.0,已完成
175,2024-07-01,湘味小炒,182.0,4.2,23.0,已完成
176,2024-07-03,蜀香麻辣烫,89.0,4.1,15.0,已完成
177,2024-07-05,蜀香麻辣烫,177.0,4.2,50.0,已取消
178,2024-07-15,湘味小炒,93.0,3.8,49.0,已完成
179,2024-07-14,鲜粥铺,82.0,,16.0,已完成
180,2024-07-03,老张炒饭,175.0,4.2,54.0,已取消
181,2024-07-01,鲜粥铺,79.0,4.8,37.0,已完成
182,2024-07-05,炸鸡队长,98.0,3.7,23.0,已完成
183,2024-07-26,蜀香麻辣烫,56.0,5.0,48.0,已完成
184,2024-07-23,老张炒饭,41.0,4.2,28.0,已完成
185,2024-07-31,老张炒饭,167.0,3.6,18.0,已完成
186,2024-07-14,炸鸡队长,115.0,3.6,44.0,已完成
187,2024-07-07,炸鸡队长,87.0,4.6,45.0,已完成
188,2024-07-27,湘味小炒,36.0,4.5,52.0,已完成
189,2024-07-09,蜀香麻辣烫,31.0,4.7,25.0,已取消
190,2024-07-15,蜀香麻辣烫,169.0,3.7,,已完成
191,2024-07-15,鲜粥铺,164.0,,22.0,已完成
192,2024-07-26,湘味小炒,157.0,4.3,17.0,配送中
193,2024-07-10,湘味小炒,137.0,4.1,28.0,已完成
194,2024-07-28,湘味小炒,41.0,4.2,27.0,已完成
195,2024-07-13,湘味小炒,139.0,5.0,59.0,已取消
196,2024-07-19,蜀香麻辣烫,69.0,,46.0,配送中
197,2024-07-31,蜀香麻辣烫,33.0,4.9,48.0,已取消
198,2024-07-07,湘味小炒,194.0,4.7,59.0,已取消
199,2024-07-17,鲜粥铺,48.0,4.0,33.0,已取消
200,2024-07-20,老张炒饭,183.0,4.1,52.0,已完成
201,2024-07-29,老张炒饭,199.0,4.3,30.0,已取消
202,2024-07-04,鲜粥铺,144.0,,16.0,已完成
203,2024-07-30,湘味小炒,26.0,3.6,54.0,配送中
204,2024-07-05,蜀香麻辣烫,48.0,4.1,31.0,已完成
205,2024-07-23,老张炒饭,158.0,3.6,48.0,已完成
206,2024-07-07,炸鸡队长,52.0,4.3,56.0,已完成
207,2024-07-13,炸鸡队长,153.0,4.8,,已取消
208,2024-07-15,鲜粥铺,130.0,4.7,,已完成
209,2024-07-11,湘味小炒,98.0,3.8,16.0,已取消
210,2024-07-29,老张炒饭,179.0,5.0,16.0,已取消
211,2024-07-04,湘味小炒,198.0,4.5,40.0,已完成
212,2024-07-13,老张炒饭,77.0,3.5,27.0,已取消
213,2024-07-07,鲜粥铺,45.0,3.9,45.0,已取消
214,2024-07-27,鲜粥铺,193.0,3.9,48.0,已完成
215,2024-07-19,炸鸡队长,48.0,3.6,53.0,已完成
216,2024-07-22,湘味小炒,23.0,4.9,17.0,已完成
217,2024-07-28,炸鸡队长,118.0,4.2,22.0,已完成
218,2024-07-02,湘味小炒,160.0,4.8,37.0,已完成
219,2024-07-10,炸鸡队长,58.0,4.0,28.0,配送中
220,2024-07-13,蜀香麻辣烫,34.0,3.7,41.0,已完成
221,2024-07-30,蜀香麻辣烫,138.0,4.2,43.0,已取消
222,2024-07-25,蜀香麻辣烫,48.0,3.7,53.0,已完成
223,2024-07-21,蜀香麻辣烫,176.0,4.2,53.0,已完成
224,2024-07-06,老张炒饭,94.0,4.9,15.0,已取消
225,2024-07-28,蜀香麻辣烫,135.0,4.3,31.0,已取消
226,2024-07-28,鲜粥铺,51.0,4.4,55.0,已完成
227,2024-07-12,鲜粥铺,149.0,3.7,44.0,已完成
228,2024-07-12,老张炒饭,194.0,3.6,27.0,已完成
229,2024-07-20,蜀香麻辣烫,103.0,3.7,35.0,已完成
230,2024-07-30,蜀香麻辣烫,41.0,4.4,33.0,已完成
231,2024-07-30,蜀香麻辣烫,46.0,3.6,33.0,已完成
232,2024-07-11,炸鸡队长,100.0,4.1,39.0,已完成
233,2024-07-26,湘味小炒,145.0,4.3,36.0,已取消
234,2024-07-23,炸鸡队长,111.0,4.1,45.0,已完成
235,2024-07-28,湘味小炒,40.0,3.7,31.0,已完成
236,2024-07-25,蜀香麻辣烫,66.0,,37.0,已完成
237,2024-07-07,蜀香麻辣烫,120.0,4.9,46.0,已取消
238,2024-07-30,炸鸡队长,103.0,4.5,999.0,已取消
239,2024-07-01,炸鸡队长,25.0,4.2,24.0,已完成
240,2024-07-01,湘味小炒,166.0,3.5,50.0,已取消
241,2024-07-25,鲜粥铺,150.0,,22.0,已完成
242,2024-07-27,湘味小炒,20.0,4.5,34.0,已完成
243,2024-07-30,炸鸡队长,77.0,4.0,46.0,已完成
244,2024-07-25,炸鸡队长,143.0,4.8,28.0,已完成
245,2024-07-20,老张炒饭,185.0,3.9,42.0,已取消
246,2024-07-13,炸鸡队长,34.0,4.3,,已取消
247,2024-07-09,老张炒饭,181.0,4.5,29.0,已完成
248,2024-07-03,鲜粥铺,182.0,3.8,36.0,已完成
249,2024-07-07,湘味小炒,83.0,5.0,44.0,已完成
250,2024-07-06,湘味小炒,44.0,4.6,18.0,已完成
251,2024-07-08,老张炒饭,43.0,4.3,27.0,已完成
252,2024-07-27,湘味小炒,31.0,3.8,37.0,已完成
253,2024-07-09,炸鸡队长,37.0,3.6,22.0,已完成
254,2024-07-30,蜀香麻辣烫,34.0,4.0,32.0,已完成
255,2024-07-05,老张炒饭,46.0,4.6,26.0,已完成
256,2024-07-01,湘味小炒,91.0,3.9,45.0,已完成
257,2024-07-19,老张炒饭,79.0,4.3,28.0,已取消
258,2024-07-10,老张炒饭,193.0,4.6,48.0,已完成
259,2024-07-12,蜀香麻辣烫,164.0,3.7,32.0,配送中
260,2024-07-24,炸鸡队长,112.0,4.5,48.0,已完成
261,2024-07-15,老张炒饭,72.0,3.6,25.0,已取消
262,2024-07-27,湘味小炒,27.0,4.9,55.0,已取消
263,2024-07-22,鲜粥铺,98.0,4.2,26.0,已完成
264,2024-07-24,老张炒饭,46.0,3.7,29.0,已完成
265,2024-07-09,老张炒饭,193.0,4.0,45.0,已取消
266,2024-07-20,蜀香麻辣烫,69.0,4.1,43.0,已完成
267,2024-07-17,炸鸡队长,150.0,4.6,40.0,已完成
268,2024-07-30,鲜粥铺,112.0,4.6,32.0,已完成
269,2024-07-17,湘味小炒,191.0,4.4,46.0,已完成
270,2024-07-26,鲜粥铺,43.0,3.7,36.0,已完成
271,2024-07-20,湘味小炒,79.0,3.7,52.0,配送中
272,2024-07-12,炸鸡队长,141.0,3.6,31.0,已完成
273,2024-07-30,湘味小炒,150.0,4.4,37.0,已完成
274,2024-07-07,蜀香麻辣烫,167.0,4.8,38.0,配送中
275,2024-07-02,蜀香麻辣烫,65.0,4.2,22.0,已完成
276,2024-07-03,蜀香麻辣烫,34.0,3.7,55.0,配送中
277,2024-07-17,蜀香麻辣烫,172.0,4.3,,已完成
278,2024-07-05,鲜粥铺,36.0,4.7,19.0,已完成
279,2024-07-17,炸鸡队长,145.0,4.6,58.0,已取消
280,2024-07-24,湘味小炒,103.0,4.8,43.0,已完成
281,2024-07-17,湘味小炒,28.0,3.9,42.0,已取消
282,2024-07-27,蜀香麻辣烫,185.0,3.8,25.0,配送中
283,2024-07-17,蜀香麻辣烫,195.0,4.8,15.0,已取消
284,2024-07-02,老张炒饭,82.0,4.5,57.0,已完成
285,2024-07-02,炸鸡队长,136.0,4.0,33.0,已取消
286,2024-07-28,鲜粥铺,149.0,4.6,23.0,已完成
287,2024-07-22,湘味小炒,107.0,4.7,41.0,已完成
288,2024-07-23,老张炒饭,91.0,4.4,48.0,已取消
289,2024-07-05,老张炒饭,158.0,4.5,58.0,已完成
290,2024-07-01,湘味小炒,83.0,4.1,18.0,已取消
291,2024-07-01,鲜粥铺,91.0,4.3,50.0,已取消
292,2024-07-19,老张炒饭,40.0,4.3,32.0,已取消
293,2024-07-30,老张炒饭,37.0,4.8,29.0,已完成
294,2024-07-02,炸鸡队长,83.0,4.8,27.0,已取消
295,2024-07-21,鲜粥铺,101.0,4.7,33.0,已完成
296,2024-07-12,老张炒饭,129.0,3.5,20.0,已取消
297,2024-07-26,鲜粥铺,114.0,4.6,26.0,已完成
298,2024-07-06,湘味小炒,185.0,4.6,51.0,已完成
299,2024-07-23,蜀香麻辣烫,51.0,4.5,31.0,已完成
300,2024-07-04,老张炒饭,30.0,4.6,37.0,已完成
301,2024-07-23,炸鸡队长,64.0,4.8,40.0,已完成
302,2024-07-11,湘味小炒,52.0,4.2,43.0,已取消
303,2024-07-24,鲜粥铺,121.0,4.3,47.0,已完成
304,2024-07-27,湘味小炒,188.0,3.7,41.0,已完成
305,2024-07-17,老张炒饭,155.0,4.1,39.0,已完成
306,2024-07-31,鲜粥铺,30.0,4.5,24.0,已完成
307,2024-07-06,蜀香麻辣烫,198.0,4.7,37.0,已完成
308,2024-07-24,湘味小炒,107.0,3.8,35.0,已完成
309,2024-07-05,老张炒饭,60.0,3.7,35.0,已完成
310,2024-07-20,炸鸡队长,164.0,,57.0,已完成
311,2024-07-02,鲜粥铺,95.0,3.5,27.0,已完成
312,2024-07-06,湘味小炒,140.0,3.8,51.0,已完成
313,2024-07-22,湘味小炒,65.0,3.5,47.0,已完成
314,2024-07-11,蜀香麻辣烫,179.0,3.8,38.0,已取消
315,2024-07-31,蜀香麻辣烫,99.0,3.8,58.0,已取消
316,2024-07-16,炸鸡队长,73.0,4.1,25.0,已完成
317,2024-07-16,炸鸡队长,105.0,4.1,31.0,配送中
318,2024-07-01,老张炒饭,111.0,4.8,18.0,已完成
319,2024-07-09,老张炒饭,167.0,4.3,39.0,已完成
320,2024-07-28,炸鸡队长,180.0,4.6,44.0,配送中
321,2024-07-27,炸鸡队长,187.0,3.7,23.0,已完成
322,2024-07-06,鲜粥铺,179.0,3.8,35.0,配送中
323,2024-07-16,蜀香麻辣烫,116.0,4.6,34.0,已完成
324,2024-07-29,老张炒饭,21.0,3.6,33.0,已完成
325,2024-07-03,蜀香麻辣烫,52.0,4.2,33.0,已完成
326,2024-07-20,蜀香麻辣烫,177.0,4.4,26.0,已取消
327,2024-07-28,炸鸡队长,180.0,4.4,51.0,已完成
328,2024-07-27,鲜粥铺,96.0,3.5,56.0,已取消
329,2024-07-04,湘味小炒,135.0,4.0,31.0,已完成
330,2024-07-19,鲜粥铺,173.0,4.5,51.0,已完成
331,2024-07-26,鲜粥铺,169.0,3.7,53.0,已完成
332,2024-07-03,蜀香麻辣烫,122.0,4.5,42.0,已完成
333,2024-07-31,鲜粥铺,185.0,4.6,55.0,配送中
334,2024-07-19,老张炒饭,122.0,5.0,,已完成
335,2024-07-20,蜀香麻辣烫,109.0,3.8,32.0,已取消
336,2024-07-07,老张炒饭,193.0,4.7,28.0,已取消
337,2024-07-20,湘味小炒,141.0,4.3,49.0,已完成
338,2024-07-09,蜀香麻辣烫,162.0,4.1,58.0,已完成
339,2024-07-01,湘味小炒,125.0,3.7,55.0,已完成
340,2024-07-08,蜀香麻辣烫,138.0,4.6,21.0,已完成
341,2024-07-07,炸鸡队长,191.0,3.9,55.0,已完成
342,2024-07-18,鲜粥铺,68.0,4.1,27.0,已完成
343,2024-07-08,炸鸡队长,123.0,3.6,32.0,已完成
344,2024-07-01,湘味小炒,80.0,,51.0,已完成
345,2024-07-11,鲜粥铺,142.0,4.6,27.0,已完成
346,2024-07-28,蜀香麻辣烫,153.0,4.6,50.0,已完成
347,2024-07-25,鲜粥铺,28.0,3.9,45.0,已完成
348,2024-07-25,老张炒饭,25.0,3.8,16.0,已取消
349,2024-07-18,鲜粥铺,92.0,4.5,30.0,已完成
350,2024-07-23,老张炒饭,122.0,4.2,23.0,已完成
351,2024-07-31,鲜粥铺,179.0,3.8,23.0,已取消
352,2024-07-30,老张炒饭,60.0,4.5,52.0,已完成
353,2024-07-10,湘味小炒,133.0,5.0,25.0,已完成
354,2024-07-03,炸鸡队长,27.0,4.6,36.0,已完成
355,2024-07-07,蜀香麻辣烫,91.0,4.6,47.0,已完成
356,2024-07-28,鲜粥铺,197.0,4.9,50.0,已完成
357,2024-07-16,炸鸡队长,111.0,3.8,59.0,已完成
358,2024-07-26,蜀香麻辣烫,81.0,4.3,37.0,已完成
359,2024-07-16,蜀香麻辣烫,103.0,,59.0,已完成
360,2024-07-25,老张炒饭,81.0,3.7,59.0,已取消
361,2024-07-20,湘味小炒,130.0,4.6,48.0,已取消
362,2024-07-28,湘味小炒,146.0,4.4,23.0,已完成
363,2024-07-17,炸鸡队长,26.0,4.4,38.0,已取消
364,2024-07-02,湘味小炒,103.0,4.5,22.0,已完成
365,2024-07-01,鲜粥铺,,4.9,21.0,已完成
366,2024-07-16,湘味小炒,153.0,4.7,50.0,已取消
367,2024-07-30,炸鸡队长,77.0,3.6,32.0,已完成
368,2024-07-12,湘味小炒,41.0,4.8,17.0,已完成
369,2024-07-05,鲜粥铺,173.0,3.8,42.0,已完成
370,2024-07-05,老张炒饭,146.0,4.1,20.0,已完成
371,2024-07-27,炸鸡队长,22.0,4.2,58.0,已取消
372,2024-07-23,老张炒饭,146.0,4.2,58.0,已取消
373,2024-07-09,老张炒饭,60.0,4.2,35.0,已取消
374,2024-07-09,老张炒饭,125.0,4.9,42.0,已取消
375,2024-07-03,蜀香麻辣烫,33.0,4.6,54.0,已完成
376,2024-07-19,蜀香麻辣烫,31.0,4.4,15.0,已完成
377,2024-07-16,老张炒饭,106.0,3.6,50.0,已完成
378,2024-07-16,炸鸡队长,31.0,4.9,35.0,已完成
379,2024-07-03,鲜粥铺,160.0,4.9,57.0,已完成
380,2024-07-20,鲜粥铺,44.0,4.7,49.0,配送中
381,2024-07-24,湘味小炒,64.0,3.5,27.0,已完成
382,2024-07-22,炸鸡队长,141.0,3.6,24.0,已完成
383,2024-07-24,蜀香麻辣烫,166.0,3.8,58.0,已完成
384,2024-07-01,老张炒饭,74.0,3.7,,已完成
385,2024-07-24,湘味小炒,119.0,4.1,27.0,已取消
386,2024-07-20,鲜粥铺,192.0,4.9,51.0,已完成
387,2024-07-11,蜀香麻辣烫,155.0,4.2,52.0,已完成
388,2024-07-17,蜀香麻辣烫,138.0,3.5,38.0,已取消
389,2024-07-08,老张炒饭,72.0,3.9,16.0,已完成
390,2024-07-04,鲜粥铺,51.0,3.6,36.0,已完成
391,2024-07-06,炸鸡队长,70.0,3.6,31.0,已完成
392,2024-07-08,蜀香麻辣烫,63.0,3.9,50.0,已取消
393,2024-07-20,老张炒饭,101.0,3.9,28.0,已完成
394,2024-07-30,炸鸡队长,165.0,4.7,24.0,已取消
395,2024-07-03,鲜粥铺,169.0,5.0,49.0,已取消
396,2024-07-16,蜀香麻辣烫,56.0,4.1,39.0,已完成
397,2024-07-30,炸鸡队长,115.0,4.1,17.0,配送中
398,2024-07-25,炸鸡队长,75.0,4.8,52.0,已取消
399,2024-07-03,炸鸡队长,124.0,3.9,31.0,已取消
400,2024-07-25,蜀香麻辣烫,78.0,3.7,26.0,已取消
401,2024-07-29,蜀香麻辣烫,150.0,4.8,38.0,已完成
402,2024-07-18,湘味小炒,175.0,3.6,43.0,已完成
403,2024-07-14,鲜粥铺,54.0,4.4,57.0,已完成
404,2024-07-18,老张炒饭,112.0,4.3,,已完成
405,2024-07-02,炸鸡队长,116.0,4.0,50.0,已完成
406,2024-07-22,湘味小炒,154.0,4.0,40.0,已取消
407,2024-07-03,老张炒饭,95.0,4.7,52.0,已取消
408,2024-07-16,湘味小炒,68.0,3.6,15.0,已完成
409,2024-07-29,蜀香麻辣烫,113.0,3.9,34.0,已取消
410,2024-07-09,炸鸡队长,178.0,4.6,42.0,已取消
411,2024-07-04,老张炒饭,43.0,4.3,30.0,已完成
412,2024-07-01,老张炒饭,167.0,3.7,31.0,已完成
413,2024-07-04,老张炒饭,56.0,4.8,54.0,已完成
414,2024-07-01,老张炒饭,23.0,4.1,42.0,已取消
415,2024-07-14,老张炒饭,127.0,4.7,26.0,已完成
416,2024-07-21,湘味小炒,145.0,4.7,41.0,已完成
417,2024-07-16,炸鸡队长,39.0,4.4,56.0,已完成
418,2024-07-20,蜀香麻辣烫,171.0,4.2,44.0,已取消
419,2024-07-24,蜀香麻辣烫,69.0,5.0,55.0,已取消
420,2024-07-08,蜀香麻辣烫,196.0,3.7,48.0,已取消
421,2024-07-07,蜀香麻辣烫,198.0,4.6,51.0,配送中
422,2024-07-03,湘味小炒,115.0,3.8,20.0,已取消
